#,Who,=,Penalty,A,B,C,D
1.0,74164813HieuNT,400.0,116,100.0,100.0,100.0,100.0
1.0,74164803datvt1,400.0,132,100.0,100.0,100.0,100.0
1.0,74164777HungTH,400.0,133,100.0,100.0,100.0,100.0
1.0,74164810trongnd,400.0,197,100.0,100.0,100.0,100.0
1.0,74163506SonDN,400.0,247,100.0,100.0,100.0,100.0
1.0,74161813HuyLQ,400.0,268,100.0,100.0,100.0,100.0
1.0,74161996Hungvt,400.0,309,100.0,100.0,100.0,100.0
1.0,74161935HungHX,400.0,405,100.0,100.0,100.0,100.0
1.0,74164791ThangBQ,400.0,529,100.0,100.0,100.0,100.0
10.0,74166668SonHT,380.0,258,100.0,80.0,100.0,100.0
10.0,74160696DungNV,380.0,415,100.0,80.0,100.0,100.0
10.0,74161728HoangVD,380.0,447,100.0,80.0,100.0,100.0
10.0,74163560SonNV,380.0,448,100.0,80.0,100.0,100.0
10.0,74152732NguyenTL,380.0,511,100.0,80.0,100.0,100.0
15.0,74161338HaoHQ,360.0,357,100.0,80.0,80.0,100.0
15.0,74150391ChuanKV,360.0,382,100.0,60.0,100.0,100.0
15.0,74162111HyNT,360.0,435,100.0,80.0,80.0,100.0
18.0,74161164GiangDL,340.0,394,100.0,80.0,100.0,60.0
18.0,74162596LuongTX,340.0,400,100.0,80.0,100.0,60.0
18.0,74163676ThaiDD,340.0,447,100.0,80.0,100.0,60.0
21.0,74161669HoangLV,320.0,418,100.0,80.0,80.0,60.0
21.0,74162905NghiaND,320.0,477,100.0,60.0,60.0,100.0
23.0,74163905ThoaiBX,300.0,421,100.0,80.0,20.0,100.0
24.0,74163848ThangNN,280.0,286,100.0,80.0,0.0,100.0
25.0,74163983ThuyTH,260.0,310,100.0,100.0,0.0,60.0
25.0,74150071AnhLT11,260.0,319,100.0,100.0,0.0,60.0
25.0,74162644ManhLD,260.0,362,100.0,100.0,0.0,60.0
25.0,74164163TrangNT,260.0,375,100.0,0.0,100.0,60.0
25.0,74161121DucNV1,260.0,543,100.0,60.0,60.0,40.0
30.0,74153418ThanhPV,240.0,592,100.0,80.0,40.0,20.0
31.0,74164487TuTT,220.0,252,100.0,60.0,0.0,60.0
31.0,74161438HiepHM,220.0,283,100.0,60.0,0.0,60.0
33.0,74179659HaiNM,140.0,181,100.0,0.0,40.0,0.0
33.0,74161712HoangPV,140.0,204,100.0,0.0,40.0,0.0
35.0,74164610VanNH,120.0,142,100.0,0.0,0.0,20.0
35.0,74161844HuyNV,120.0,351,100.0,20.0,0.0,0.0
37.0,74162200KhoaiNT,100.0,9,100.0,0.0,0.0,0.0
