#,Who,=,Penalty,A,B,C,D
1.0,08176806longld,400.0,169,100.0,100.0,100.0,100.0
1.0,08176866thaind,400.0,306,100.0,100.0,100.0,100.0
1.0,08176905vangtt,400.0,327,100.0,100.0,100.0,100.0
1.0,08176872thanhdt,400.0,343,100.0,100.0,100.0,100.0
1.0,08176779HungND,400.0,375,100.0,100.0,100.0,100.0
1.0,08173554MinhNQ,400.0,385,100.0,100.0,100.0,100.0
1.0,08176808longt,400.0,399,100.0,100.0,100.0,100.0
1.0,08176901tungnt,400.0,496,100.0,100.0,100.0,100.0
9.0,08176677annt,380.0,353,100.0,100.0,80.0,100.0
9.0,08176763hoangnx,380.0,430,100.0,100.0,80.0,100.0
9.0,08176732duongtt,380.0,471,100.0,100.0,80.0,100.0
9.0,08176765hoangvm,380.0,546,100.0,100.0,80.0,100.0
13.0,08176881thongdm,360.0,341,100.0,80.0,80.0,100.0
13.0,08176761hoangbt,360.0,345,100.0,80.0,80.0,100.0
13.0,08176748hangtt,360.0,440,100.0,80.0,80.0,100.0
13.0,08176841nhonlv,360.0,452,100.0,80.0,80.0,100.0
17.0,08176794khanhcq,340.0,396,100.0,100.0,80.0,60.0
17.0,08160625dinhnt,340.0,398,100.0,60.0,80.0,100.0
17.0,08176873thanhld,340.0,514,100.0,60.0,80.0,100.0
20.0,08176783huyqq,320.0,448,100.0,40.0,80.0,100.0
20.0,08176722duclt,320.0,466,100.0,80.0,100.0,40.0
22.0,08176835nghiant,300.0,393,100.0,80.0,80.0,40.0
22.0,08176727dungvt,300.0,450,100.0,20.0,80.0,100.0
22.0,08176746haipk,300.0,464,100.0,20.0,80.0,100.0
25.0,08176846phuocnd,280.0,249,100.0,0.0,80.0,100.0
25.0,08176744hapt,280.0,317,100.0,0.0,80.0,100.0
25.0,08176860sonlt,280.0,485,100.0,80.0,80.0,20.0
28.0,08176679anhnth,260.0,286,100.0,0.0,80.0,80.0
28.0,08176845phucnm,260.0,318,100.0,0.0,80.0,80.0
28.0,08176762hoangnv,260.0,367,100.0,100.0,60.0,0.0
28.0,08150853datnt,260.0,431,100.0,60.0,80.0,20.0
32.0,0819T012johannesmunichs,220.0,465,100.0,20.0,80.0,20.0
33.0,08176760hoaintt,200.0,205,100.0,0.0,100.0,0.0
34.0,08176792khangnm,180.0,201,100.0,0.0,80.0,0.0
34.0,0819T011Daniel1,180.0,201,100.0,0.0,80.0,0.0
34.0,08176772huedt.,180.0,228,100.0,0.0,80.0,0.0
37.0,08163255phuongtva,140.0,118,100.0,40.0,0.0,0.0
