#,Who,=,Penalty,A,B,C,D
8.0,45166810ThuanNV,139.5,332,100.0,22.0,17.5,0.0
1.0,45164814DuyNC,400.0,487,100.0,100.0,100.0,100.0
2.0,45161042DinhNH,350.0,523,100.0,100.0,100.0,50.0
3.0,45164787LanPD,300.0,527,100.0,100.0,100.0,0.0
4.0,45160370BinhNN11,215.0,406,100.0,90.0,25.0,0.0
4.0,45173126Hoannt,215.0,566,100.0,90.0,25.0,0.0
6.0,45173095HaiDB_,198.0,593,100.0,53.0,25.0,20.0
7.0,45166531NgocVT,196.0,485,100.0,71.0,25.0,0.0
9.0,45151214HaiPV,125.0,298,100.0,0.0,25.0,0.0
9.0,45144662TrinhND,125.0,347,100.0,0.0,25.0,0.0
9.0,45165819ChuongDV1,125.0,404,100.0,0.0,25.0,0.0
12.0,45166030HaNQ,120.0,463,100.0,0.0,20.0,0.0
13.0,45152851PHUTV,0.0,0,0.0,0.0,0.0,0.0
13.0,45153997trungnxt,0.0,0,0.0,0.0,0.0,0.0
