#,Who,=,Penalty,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,D01,D02,D03,D04,E3,F01,F02,F03,F04,G01,G02,Z1,Z2
1,44153054QuanVM,3800,13777,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100
3,44150747DuongLM,3695,5626,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,0,100,100,100,0
4,44173465VietNHA,3395,3698,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,0,100,100,100,0
7,44170121TuanBM,3250,5086,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,0,50,100,100,100,100,100,100,0,100,0,100,100,0,0
9,44170063DuyTM,3165,5995,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60,100,100,100,100,100,100,100,100,100,0,0,0,100,100,100,100,0,40,40,100,100,100,25,0
10,44183503DungDM,3158,5764,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,100,100,100,88,100,95,0,100,100,100,100,100,100,0,0,0,100,100,75,0
12,44183668VietPQ,3094,4203,100,100,100,100,100,100,100,100,100,80,100,100,100,100,40,100,100,0,0,100,96,100,88,100,95,0,100,100,100,100,95,100,0,0,0,100,100,100,0
17,44183612QuanNV,2910,2302,100,100,100,100,100,100,100,100,100,100,100,100,100,100,40,100,100,0,0,100,100,100,100,100,95,0,100,100,100,100,75,0,0,0,0,100,100,0,0
26,44173365ThangTV,2571,4060,100,100,100,100,100,100,100,45,100,95,100,100,100,100,100,100,60,100,100,100,96,100,0,100,0,0,0,100,100,100,0,0,0,0,0,0,0,75,0
37,44150631DuyPV,2148,4608,100,100,100,100,100,100,100,65,100,75,100,100,40,0,0,90,75,0,0,100,80,100,88,100,0,0,0,60,100,0,75,0,0,0,0,100,0,0,0
39,44184005TuanNB,2123,5061,100,100,100,100,100,45,100,35,100,45,100,100,100,100,100,60,80,100,100,90,100,100,68,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,44184240DanGC,1866,2547,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,0,90,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0
72,44152644NghiaDV,1530,2156,100,100,100,100,100,100,100,0,100,95,0,0,0,0,0,100,0,0,0,100,36,95,4,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0
77,44183514DuyNV,1463,889,100,100,100,100,100,100,100,0,100,100,0,100,0,0,0,0,0,0,0,100,100,75,88,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,44153517ThangNH,1435,1937,100,100,100,100,100,100,100,100,100,75,0,100,0,100,0,100,60,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
